DATE,M4,TA,FFR,CC,NGDP
2011-02,0.010000000000000675,0.019999999999999574,-0.030000000000000013,0.0,-0.03999999999999915
2011-03,0.009999999999999787,0.019999999999999574,-0.06,0.010000000000000675,0.0
2011-04,0.0,0.02000000000000135,-0.07,0.009999999999999787,0.03999999999999915
2011-05,0.009999999999999787,0.02999999999999936,-0.010000000000000009,0.0,-0.03999999999999915
2011-06,0.0,0.019999999999999574,0.020000000000000018,0.0,0.0
2011-07,0.0,0.019999999999999574,-0.01999999999999999,0.010000000000000675,0.03999999999999915
2011-08,-0.020000000000000462,0.0,0.01999999999999999,0.0,-0.03999999999999915
2011-09,0.0,0.009999999999999787,-0.030000000000000013,-8.881784197001252e-16,0.0
2011-10,-0.009999999999999787,-0.009999999999999787,1.3877787807814457e-17,-0.009999999999999787,0.03999999999999915
2011-11,0.0,-0.019999999999999574,0.009999999999999995,0.0,-0.03999999999999915
2011-12,0.009999999999999787,1.7763568394002505e-15,1.3877787807814457e-17,0.0,0.0
2012-01,0.009999999999999787,-0.010000000000001563,0.019999999999999976,0.010000000000000675,0.03999999999999915
2012-02,0.0,-0.019999999999999574,0.030000000000000013,0.0,-0.03999999999999915
2012-03,0.0,-0.049999999999998934,0.04999999999999999,-8.881784197001252e-16,0.0
2012-04,0.0,-0.0400000000000027,0.05000000000000002,-0.009999999999999787,0.0400000000000027
2012-05,-0.009999999999999787,-0.02999999999999936,0.03,0.009999999999999787,-0.0400000000000027
2012-06,0.020000000000000462,-0.02999999999999936,0.0,-0.009999999999999787,0.0
2012-07,-0.009999999999999787,-0.009999999999999787,0.01999999999999999,-8.881784197001252e-16,0.03999999999999915
2012-08,0.019999999999999574,-0.009999999999999787,-0.06,0.0,-0.03999999999999915
2012-09,0.0,-0.009999999999999787,0.030000000000000013,8.881784197001252e-16,0.0
2012-10,0.0,0.009999999999999787,0.029999999999999985,0.0,0.030000000000001137
2012-11,0.009999999999999787,0.02999999999999936,-0.009999999999999995,0.009999999999999787,-0.030000000000001137
2012-12,0.009999999999999787,-0.019999999999999574,0.020000000000000004,-0.009999999999999787,0.0
2013-01,8.881784197001252e-16,0.009999999999999787,-0.039999999999999994,-8.881784197001252e-16,0.03999999999999915
2013-02,-0.010000000000000675,0.03999999999999915,-0.010000000000000023,0.0,-0.03999999999999915
2013-03,0.0,0.040000000000000924,-0.03999999999999998,-0.009999999999998899,0.0
2013-04,8.881784197001252e-16,0.040000000000000924,-2.7755575615628914e-17,0.0,0.029999999999997584
2013-05,0.0,0.02999999999999936,-0.059999999999999984,0.0,-0.029999999999997584
2013-06,-0.010000000000000675,0.02000000000000135,-0.020000000000000004,0.0,0.0
2013-07,0.0,0.02999999999999936,0.0,0.0,0.030000000000001137
2013-08,-0.009999999999999787,0.03999999999999915,0.020000000000000004,0.0,-0.030000000000001137
2013-09,0.009999999999999787,0.019999999999999574,-0.010000000000000009,-8.881784197001252e-16,0.0
2013-10,0.0,0.030000000000001137,-0.009999999999999995,0.0,0.05000000000000071
2013-11,-0.009999999999999787,0.009999999999999787,-0.009999999999999995,-0.009999999999998899,-0.05000000000000071
2013-12,-0.009999999999999787,0.00999999999999801,-1.3877787807814457e-17,0.009999999999999787,0.0
2014-01,-0.010000000000000675,1.7763568394002505e-15,0.010000000000000009,-0.009999999999999787,0.030000000000001137
2014-02,0.020000000000000462,-0.019999999999999574,-0.009999999999999981,0.0,-0.030000000000001137
2014-03,0.0,-0.02000000000000135,0.019999999999999976,0.009999999999998899,0.0
2014-04,-0.010000000000000675,-0.009999999999999787,1.3877787807814457e-17,0.010000000000000675,0.05000000000000071
2014-05,0.0,-0.019999999999999574,0.039999999999999994,-0.009999999999999787,-0.05000000000000071
2014-06,0.0,-0.010000000000001563,0.030000000000000013,0.0,0.0
2014-07,0.0,-0.019999999999997797,-0.010000000000000009,0.0,0.05000000000000071
2014-08,0.0,-0.02999999999999936,0.009999999999999995,0.0,-0.05000000000000071
2014-09,-0.009999999999999787,0.0,0.0,-0.009999999999999787,0.0
2014-10,0.009999999999999787,-0.030000000000001137,-0.009999999999999995,0.009999999999999787,0.03999999999999915
2014-11,0.0,-0.019999999999999574,0.009999999999999995,-8.881784197001252e-16,-0.03999999999999915
2014-12,0.0,-0.019999999999999574,0.020000000000000004,8.881784197001252e-16,0.0
2015-01,0.010000000000000675,-0.02000000000000135,0.01999999999999999,0.009999999999999787,0.05000000000000071
2015-02,-0.009999999999999787,-0.019999999999999574,-0.009999999999999995,0.0,-0.05000000000000071
2015-03,0.009999999999999787,-0.009999999999999787,-0.009999999999999995,-0.009999999999999787,0.0
2015-04,-0.009999999999999787,-0.019999999999999574,0.010000000000000009,-8.881784197001252e-16,0.03999999999999915
2015-05,0.009999999999999787,-0.009999999999999787,-0.010000000000000009,0.0,-0.03999999999999915
2015-06,0.0,-0.009999999999999787,0.0,0.0,0.0
2015-07,0.009999999999999787,-0.010000000000001563,0.010000000000000009,-0.009999999999999787,0.029999999999997584
2015-08,0.0,0.0,0.010000000000000009,0.010000000000000675,-0.029999999999997584
2015-09,0.0,-0.009999999999999787,0.0,0.0,0.0
2015-10,-0.009999999999999787,0.0,-0.020000000000000018,0.0,0.019999999999999574
2015-11,0.009999999999999787,-0.009999999999999787,0.0,0.0,-0.019999999999999574
2015-12,0.0,0.0,0.09,-0.010000000000000675,0.0
2016-01,0.0,0.0,0.10000000000000003,0.0,0.019999999999999574
2016-02,0.0,0.0,0.049999999999999975,0.0,-0.019999999999999574
2016-03,0.0,0.0,-0.020000000000000018,0.0,0.0
