DATE,M4,TA,FFR,CC,NGDP,I
2012-01,0.019999999999999574,0.09999999999999964,-0.15000000000000002,0.030000000000001137,0.0,2.23
2012-02,0.009999999999998899,0.0600000000000005,-0.09,0.030000000000001137,0.0,0.8099999999999996
2012-03,-8.881784197001252e-16,-0.00999999999999801,0.01999999999999999,0.019999999999999574,0.0,-0.3700000000000001
2012-04,-8.881784197001252e-16,-0.07000000000000206,0.14,0.0,3.552713678800501e-15,-1.6800000000000002
2012-05,-0.020000000000000462,-0.13000000000000078,0.18000000000000002,0.009999999999999787,0.0,-3.1799999999999997
2012-06,0.0,-0.17999999999999972,0.16,0.0,0.0,-4.23
2012-07,-0.009999999999999787,-0.20999999999999908,0.19999999999999998,-0.010000000000001563,0.0,-4.4
2012-08,0.03000000000000025,-0.21999999999999886,0.12,-0.010000000000001563,0.0,-4.66
2012-09,0.03000000000000025,-0.23999999999999844,0.18000000000000002,-0.009999999999999787,0.0,-4.55
2012-10,0.040000000000000036,-0.21999999999999886,0.21,0.0,-0.00999999999999801,-3.71
2012-11,0.04999999999999982,-0.16999999999999993,0.19,0.009999999999999787,0.0,-4.0200000000000005
2012-12,0.04999999999999982,-0.19000000000000128,0.21,0.0,0.0,-2.92
2013-01,0.040000000000000924,-0.16999999999999993,0.15000000000000002,-0.010000000000001563,0.0,-2.6399999999999997
2013-02,0.03000000000000025,-0.11000000000000121,0.10999999999999999,-0.010000000000001563,0.0,-1.6599999999999997
2013-03,0.03000000000000025,-0.02000000000000135,0.020000000000000018,-0.019999999999999574,0.0,-1.02
2013-04,0.030000000000001137,0.060000000000002274,-0.030000000000000027,-0.009999999999999787,-0.010000000000005116,-0.32000000000000006
2013-05,0.040000000000000924,0.120000000000001,-0.12000000000000001,-0.019999999999999574,0.0,1.3699999999999999
2013-06,0.009999999999999787,0.1700000000000017,-0.14,-0.009999999999999787,0.0,1.9200000000000002
2013-07,0.019999999999999574,0.21000000000000085,-0.16,-0.009999999999998899,-0.00999999999999801,2.63
2013-08,-0.009999999999999787,0.2599999999999998,-0.08,-0.009999999999998899,0.0,1.9100000000000001
2013-09,0.0,0.28999999999999915,-0.12000000000000002,-0.010000000000000675,0.0,1.0000000000000002
2013-10,0.0,0.3100000000000005,-0.16,-0.010000000000000675,0.019999999999999574,0.07999999999999963
2013-11,-0.019999999999999574,0.2900000000000009,-0.16,-0.02999999999999936,0.0,1.08
2013-12,-0.03999999999999915,0.3199999999999985,-0.18000000000000002,-0.009999999999999787,0.0,1.05
2014-01,-0.05000000000000071,0.3100000000000005,-0.13,-0.019999999999998685,-0.00999999999999801,1.21
2014-02,-0.019999999999999574,0.2500000000000018,-0.12999999999999998,-0.019999999999998685,0.0,-0.020000000000000018
2014-03,-0.019999999999999574,0.1899999999999995,-0.07000000000000002,-8.881784197001252e-16,0.0,1.1500000000000001
2014-04,-0.030000000000001137,0.1399999999999988,-0.06999999999999998,0.009999999999999787,0.020000000000003126,2.0100000000000002
2014-05,-0.030000000000001137,0.08999999999999986,0.03,0.0,0.0,1.1300000000000001
2014-06,-0.020000000000000462,0.059999999999996945,0.08000000000000002,0.0,0.0,0.27
2014-07,-0.020000000000000462,0.009999999999999787,0.07,0.0,0.019999999999999574,-0.3899999999999999
2014-08,-0.010000000000000675,-0.05999999999999872,0.06,0.0,0.0,0.32999999999999985
2014-09,-0.03000000000000025,-0.0799999999999983,0.07,-0.009999999999998899,0.0,1.4499999999999997
2014-10,-0.020000000000000462,-0.14000000000000057,0.07,8.881784197001252e-16,-0.010000000000001563,2.0100000000000002
2014-11,-0.010000000000000675,-0.16999999999999993,0.09,0.009999999999998899,0.0,0.5700000000000001
2014-12,-8.881784197001252e-16,-0.1999999999999975,0.11000000000000001,0.0,0.0,-0.61
2015-01,0.020000000000000462,-0.22000000000000064,0.12,0.019999999999999574,0.019999999999999574,-1.6700000000000002
2015-02,-0.009999999999999787,-0.22000000000000064,0.11999999999999998,0.019999999999999574,0.0,-0.3100000000000003
2015-03,0.0,-0.20999999999999908,0.09000000000000001,8.881784197001252e-16,0.0,-1.7200000000000002
2015-04,8.881784197001252e-16,-0.21999999999999886,0.1,-0.010000000000000675,-0.010000000000001563,-3.0
2015-05,0.010000000000000675,-0.20999999999999908,0.05,-8.881784197001252e-16,0.0,-2.91
2015-06,0.010000000000000675,-0.2099999999999973,0.01999999999999999,-8.881784197001252e-16,0.0,-2.22
2015-07,0.020000000000000462,-0.20000000000000107,0.04000000000000001,-0.010000000000000675,-0.020000000000003126,-1.82
2015-08,0.020000000000000462,-0.1700000000000017,0.04000000000000002,0.0,0.0,-1.66
2015-09,0.03000000000000025,-0.1800000000000015,0.04000000000000002,0.009999999999999787,0.0,-2.26
2015-10,0.010000000000000675,-0.15000000000000036,0.03,0.0,-0.019999999999999574,-2.21
2015-11,0.020000000000000462,-0.14000000000000057,0.020000000000000004,8.881784197001252e-16,0.0,-0.79
2015-12,0.020000000000000462,-0.120000000000001,0.09,-0.010000000000000675,0.0,0.85
2016-01,0.009999999999999787,-0.09999999999999964,0.17000000000000004,-0.020000000000000462,-0.030000000000001137,3.26
2016-02,0.019999999999999574,-0.08000000000000007,0.23000000000000004,-0.020000000000000462,0.0,2.1500000000000004
2016-03,0.009999999999999787,-0.07000000000000028,0.22,-0.010000000000000675,0.0,2.54
2016-04,0.02999999999999936,-0.05000000000000071,0.19999999999999998,-0.009999999999998899,-0.019999999999999574,3.39
2016-05,0.019999999999999574,-0.05000000000000071,0.22,-0.009999999999998899,0.0,3.17
