DATE,M4,TA,FFR,CC,NGDP,I
2010-03,8.881784197001252e-16,0.019999999999999574,0.020000000000000004,0.009999999999999787,-0.18999999999999773,0.6100000000000003
2010-04,0.019999999999999574,-0.009999999999999787,-0.010000000000000009,-0.009999999999999787,-0.17999999999999972,-0.2200000000000002
2010-05,-0.009999999999999787,-0.009999999999999787,-0.03,0.0,0.35999999999999943,-0.1299999999999999
2010-06,-0.009999999999999787,0.009999999999999787,-0.020000000000000018,0.009999999999999787,-0.17999999999999972,-0.6699999999999999
2010-07,0.019999999999999574,-0.019999999999999574,0.020000000000000018,-0.009999999999999787,-0.16999999999999815,1.0999999999999999
2010-08,8.881784197001252e-16,0.009999999999999787,0.010000000000000009,0.0,0.3399999999999963,-0.41000000000000014
2010-09,-0.010000000000000675,-0.009999999999999787,0.0,0.010000000000000675,-0.16999999999999815,0.16000000000000036
2010-10,0.009999999999999787,0.009999999999999787,-0.020000000000000018,-8.881784197001252e-16,-0.16000000000000014,0.07999999999999963
2010-11,-0.009999999999999787,0.009999999999999787,0.010000000000000009,0.0,0.3200000000000003,-0.13999999999999968
2010-12,-0.009999999999999787,0.019999999999999574,-0.010000000000000009,0.0,-0.16000000000000014,0.44999999999999973
2011-01,0.009999999999999787,-0.00999999999999801,2.7755575615628914e-17,-0.009999999999999787,-0.14999999999999858,-0.09999999999999987
2011-02,0.0,-1.7763568394002505e-15,-2.7755575615628914e-17,0.0,0.29999999999999716,0.16000000000000014
2011-03,0.0,0.019999999999999574,-0.009999999999999981,0.020000000000000462,-0.14999999999999858,0.07999999999999985
2011-04,0.009999999999999787,-0.00999999999999801,-0.020000000000000018,-0.010000000000000675,-0.14000000000000057,-0.040000000000000036
2011-05,0.0,-1.7763568394002505e-15,0.03,-0.009999999999999787,0.28000000000000114,-0.08000000000000007
2011-06,-0.019999999999999574,0.0,0.010000000000000009,0.009999999999999787,-0.14000000000000057,-0.33999999999999986
2011-07,0.019999999999999574,-0.019999999999999574,-0.01999999999999999,8.881784197001252e-16,-0.129999999999999,0.040000000000000036
2011-08,-0.019999999999999574,-0.009999999999999787,0.04999999999999999,-0.010000000000000675,0.259999999999998,0.08999999999999986
2011-09,0.009999999999999787,0.0,-0.05,0.009999999999999787,-0.129999999999999,-0.10999999999999988
2011-10,0.0,-0.009999999999999787,0.010000000000000009,-0.009999999999999787,-0.120000000000001,-0.3500000000000001
2011-11,0.0,0.0,0.01999999999999999,0.009999999999999787,0.240000000000002,0.2200000000000002
2011-12,0.0,0.040000000000000924,-0.01999999999999999,0.0,-0.120000000000001,-0.3200000000000003
2012-01,0.009999999999999787,-0.02000000000000135,0.01999999999999999,8.881784197001252e-16,-0.10999999999999943,0.33999999999999986
2012-02,-0.009999999999999787,-0.009999999999999787,0.010000000000000009,-0.010000000000000675,0.21999999999999886,-0.05999999999999961
2012-03,0.0,-0.009999999999999787,0.009999999999999995,0.019999999999999574,-0.10999999999999943,-0.20999999999999996
2012-04,0.009999999999999787,-1.7763568394002505e-15,-0.01999999999999999,-0.019999999999999574,-0.09999999999999787,0.009999999999999787
2012-05,-0.009999999999999787,0.010000000000001563,0.009999999999999981,0.009999999999999787,0.19999999999999574,-0.21999999999999997
2012-06,0.010000000000000675,0.0,-0.01999999999999999,-0.009999999999999787,-0.09999999999999787,0.43999999999999995
2012-07,-0.010000000000000675,0.0,0.0,0.009999999999999787,-0.08999999999999986,-0.1399999999999999
2012-08,0.009999999999999787,-0.009999999999999787,-0.03,-0.009999999999999787,0.17999999999999972,0.5
2012-09,-0.009999999999999787,0.0,0.04000000000000001,0.010000000000000675,-0.08999999999999986,-0.010000000000000009
2012-10,0.0,0.009999999999999787,0.009999999999999981,-0.010000000000000675,-0.08999999999999986,-0.04999999999999982
2012-11,0.009999999999999787,0.019999999999999574,-0.01999999999999999,0.019999999999999574,0.17999999999999972,-0.5700000000000003
2012-12,0.0,-0.00999999999999801,0.010000000000000009,-0.019999999999999574,-0.08999999999999986,0.32000000000000006
2013-01,8.881784197001252e-16,0.00999999999999801,-0.04000000000000001,0.009999999999999787,-0.07000000000000028,-0.040000000000000036
2013-02,-0.02000000000000135,0.019999999999999574,0.03999999999999998,-0.009999999999999787,0.14000000000000057,0.42000000000000015
2013-03,0.010000000000000675,-0.00999999999999801,-0.019999999999999962,0.010000000000000675,-0.07000000000000028,-0.8400000000000001
2013-04,0.010000000000000675,-1.7763568394002505e-15,0.019999999999999962,-0.010000000000000675,-0.07000000000000028,0.11999999999999988
2013-05,-0.010000000000000675,0.0,-0.049999999999999975,0.009999999999999787,0.14000000000000057,0.6300000000000001
2013-06,0.0,-0.00999999999999801,0.01999999999999999,-0.009999999999999787,-0.07000000000000028,0.08000000000000007
2013-07,0.0,0.00999999999999801,0.020000000000000004,0.009999999999999787,-0.05999999999999872,-0.16000000000000014
2013-08,0.0,0.0,-0.009999999999999995,-0.009999999999999787,0.11999999999999744,-0.5199999999999998
2013-09,0.009999999999999787,-0.019999999999999574,0.009999999999999995,0.009999999999999787,-0.05999999999999872,-0.10000000000000009
2013-10,-0.009999999999999787,0.02000000000000135,0.009999999999999995,-0.009999999999999787,-0.03999999999999915,0.23999999999999988
2013-11,0.0,-1.7763568394002505e-15,-0.01999999999999999,0.010000000000000675,0.0799999999999983,0.56
2013-12,0.0,-0.009999999999999787,0.01999999999999999,-8.881784197001252e-16,-0.03999999999999915,-0.06999999999999995
2014-01,0.0,1.7763568394002505e-15,-0.029999999999999985,-0.009999999999999787,-0.03999999999999915,-0.22999999999999998
